Stock,Avg V,Price,Call,Call time,Earnings Date,Earnings Time,Avg ch %,Sector,Industry
A,"1,899,490",114.88,-,-,2023-08-15,After Close,4.2,Healthcare,Diagnostics & Research
AA,"5,681,880",30.19,-,-,2023-07-19,After Close,5.5,Basic Materials,Aluminum
AAL,"23,620,900",13.26,-,-,2023-07-20,Before Market Open,4.4,Industrials,Airlines
AAN,"362,500",10.42,-,-,2023-07-31,After Close,-,Industrials,Rental & Leasing Services
AAP,"2,700,050",59.62,-,-,2023-08-23,Before Market Open,6,Consumer Cyclical,Specialty Retail
AAPL,"57,421,100",175.74,-,-,2023-08-03,After Close,4.7,Technology,Consumer Electronics
ABBV,"5,211,830",153.64,-,-,2023-07-27,Before Market Open,-,Healthcare,Drug Manufacturers - General
ABT,"4,602,680",102.65,-,-,2023-07-20,Before Market Open,2.1,Healthcare,Medical Devices
ACAD,"1,573,460",25.85,-,-,2023-08-02,After Close,6.5,Healthcare,Biotechnology
ACHC,"568,080",71.35,-,-,2023-07-27,After Close,-,Healthcare,Medical Care Facilities
ACM,"691,370",84.00,-,-,2023-08-07,After Close,-,Industrials,Engineering & Construction
ACN,"1,999,390",316.59,-,-,2023-09-28,Before Market Open,4.2,Technology,Information Technology Services
ADBE,"3,075,030",552.16,-,-,2023-09-14,After Close,4.7,Technology,Software - Infrastructure
ADI,"3,361,990",179.67,-,-,2023-08-23,Before Market Open,-,Technology,Semiconductors
ADM,"2,771,500",80.65,-,-,2023-07-25,Before Market Open,4.1,Consumer Defensive,Farm Products
ADP,"1,554,260",248.29,-,-,2023-07-26,Before Market Open,2.8,Industrials,Staffing & Employment Services
ADSK,"1,463,770",216.67,-,-,2023-08-23,After Close,5.7,Technology,Software - Application
ADT,"2,598,670",5.88,-,-,2023-08-08,Before Market Open,-,Industrials,Security & Protection Services
AEE,"1,249,020",81.04,-,-,2023-08-02,After Close,1.3,Utilities,Utilities - Regulated Electric
AEM,"2,022,590",48.09,-,-,2023-07-26,After Close,4.9,Basic Materials,Gold
AEO,"4,430,490",15.30,-,-,2023-09-06,After Close,-,Consumer Cyclical,Apparel Retail
